"t_us","t_s","weight_raw_kg","offset_raw_kg","weight_adj_kg"
56334,0.056334,0.0212653130292892,0,0.0212653130292892
245494,0.245494,0.0181608945131302,0,0.0181608945131302
434660,0.43466,0.00232832133769989,0,0.00232832133769989
623829,0.623829,-0.00760583579540253,0,-0.00760583579540253
813007,0.813007,-0.0128833651542664,0,-0.0128833651542664
1002225,1.002225,-0.0325964689254761,0,-0.0325964689254761
1203266,1.203266,-0.00884760916233063,0,-0.00884760916233063
1392482,1.392482,0.000776112079620361,0,0.000776112079620361
1581701,1.581701,0.0107102692127228,0,0.0107102692127228
1770883,1.770883,0.0414440780878067,0,0.0414440780878067
1960077,1.960077,-0.0192474275827408,0,-0.0192474275827408
2149280,2.14928,0.0119520425796509,0,0.0119520425796509
2338482,2.338482,0.063951164484024,0,0.063951164484024
2527717,2.527717,-0.00558796525001526,0,-0.00558796525001526
2717005,2.717005,0.000776112079620361,0,0.000776112079620361
2906288,2.906288,-0.0122624784708023,0,-0.0122624784708023
3095580,3.09558,-0.0358560979366302,0,-0.0358560979366302
3284798,3.284798,0.00357009470462799,0,0.00357009470462799
3473998,3.473998,-0.0147460103034973,0,-0.0147460103034973
3663201,3.663201,0.00139699876308441,0,0.00139699876308441
3852401,3.852401,0.0324412435293198,0,0.0324412435293198
4041601,4.041601,0.0116415917873383,0,0.0116415917873383
4230807,4.230807,-0.0574318468570709,0,-0.0574318468570709
4420018,4.420018,0.609864294528961,0,0.609864294528961
4609227,4.609227,3.87323570251465,0,3.87323570251465
4798435,4.798435,6.34699726104736,0,6.34699726104736
4987635,4.987635,6.84184265136719,0,6.84184265136719
5176834,5.176834,6.50144243240356,0,6.50144243240356
5366023,5.366023,6.32231712341309,0,6.32231712341309
5555211,5.555211,6.23089170455933,0,6.23089170455933
5744406,5.744406,6.23741102218628,0,6.23741102218628
5933594,5.933594,6.21428298950195,0,6.21428298950195
6122785,6.122785,6.18494606018066,0,6.18494606018066
6311968,6.311968,6.08436250686646,0,6.08436250686646
6501128,6.501128,5.9948000907898,0,5.9948000907898
6690258,6.690258,6.13139486312866,0,6.13139486312866
6879423,6.879423,6.11106061935425,0,6.11106061935425
7068527,7.068527,5.90880727767944,0,5.90880727767944
7257694,7.257694,5.22552347183228,0,5.22552347183228
7446894,7.446894,0.366632580757141,0,0.366632580757141
7636099,7.636099,0.230348333716393,0,0.230348333716393
7825294,7.825294,0.0408231914043427,0,0.0408231914043427
8014483,8.014483,0.0301129221916199,0,0.0301129221916199
8203687,8.203687,0.0246801823377609,0,0.0246801823377609
8392886,8.392886,0.0194026678800583,0,0.0194026678800583
8582072,8.582072,0.0478081554174423,0,0.0478081554174423
8771256,8.771256,0.0437723994255066,0,0.0437723994255066
8960444,8.960444,0.0656585991382599,0,0.0656585991382599
9149630,9.14963,-0.0147460103034973,0,-0.0147460103034973
9338825,9.338825,0.0686077922582626,0,0.0686077922582626
9528012,9.528012,0.0599154084920883,0,0.0599154084920883
9717198,9.717198,0.0316651463508606,0,0.0316651463508606
9906419,9.906419,0.028405487537384,0,0.028405487537384
10095629,10.095629,0.013814702630043,0,0.013814702630043
10284842,10.284842,0.0184713304042816,0,0.0184713304042816
10474046,10.474046,0.0316651463508606,0,0.0316651463508606
10663244,10.663244,0.0791628360748291,0,0.0791628360748291
10864249,10.864249,-0.0207996368408203,0,-0.0207996368408203
11053433,11.053433,0.0180056691169739,0,0.0180056691169739
